2025-01-31 18:56:23,462 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0800.MP4
2025-01-31 18:56:26,565 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0844.MP4
2025-01-31 18:56:46,696 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0845.MP4
2025-01-31 18:57:09,507 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/9 AM/DJI_0846.MP4
2025-01-31 18:57:19,559 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/9 AM/DJI_0868.MP4
2025-01-31 18:57:33,722 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/9 AM/DJI_0896.MP4
2025-01-31 18:57:41,126 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/9 AM/DJI_0790-1.MP4
2025-01-31 18:57:55,207 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0756-1.MP4
2025-01-31 18:58:00,073 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0757-1.MP4
2025-01-31 18:58:08,423 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0809.MP4
2025-01-31 18:58:16,302 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0791-1.MP4
2025-01-31 18:58:20,586 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0807.MP4
2025-01-31 18:58:28,307 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0553.MP4
2025-01-31 18:58:35,627 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0554.MP4
2025-01-31 18:58:43,285 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0555.MP4
2025-01-31 18:58:47,857 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0593.MP4
2025-01-31 18:58:53,989 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0901.MP4
2025-01-31 18:58:57,187 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0902.MP4
2025-01-31 18:59:01,675 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0594.MP4
2025-01-31 18:59:05,749 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0594-1.MP4
2025-01-31 18:59:12,475 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0911.MP4
2025-01-31 18:59:16,262 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0912.MP4
2025-01-31 18:59:21,456 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0913.MP4
2025-01-31 18:59:44,587 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0914.MP4
2025-01-31 18:59:51,656 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/10 AM/DJI_0922.MP4
2025-01-31 18:59:55,911 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/11 AM/DJI_0927.MP4
2025-01-31 19:00:00,851 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/11 AM/DJI_0932.MP4
2025-01-31 19:00:04,300 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/11 AM/DJI_0933.MP4
2025-01-31 19:00:10,164 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/11 AM/DJI_0935.MP4
2025-01-31 19:00:26,905 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/11 AM/DJI_0936.MP4
2025-01-31 19:00:32,795 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/11 AM/DJI_0958.MP4
2025-01-31 19:00:36,417 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/11 AM/DJI_0959-2.MP4
2025-01-31 19:00:41,743 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/11 AM/DJI_0964.MP4
2025-01-31 19:00:51,862 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/11 AM/DJI_0965.MP4
2025-01-31 19:00:55,267 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/11 AM/DJI_0966.MP4
2025-01-31 19:01:04,626 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/11 AM/DJI_0967.MP4
2025-01-31 19:01:21,624 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0327.MP4
2025-01-31 19:01:29,104 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0332.MP4
2025-01-31 19:01:33,189 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0337.MP4
2025-01-31 19:01:36,643 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0341.MP4
2025-01-31 19:01:40,407 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0363.MP4
2025-01-31 19:01:47,815 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0364.MP4
2025-01-31 19:01:56,095 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0365.MP4
2025-01-31 19:02:04,290 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0369.MP4
2025-01-31 19:02:19,665 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0379.MP4
2025-01-31 19:02:31,036 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0391.MP4
2025-01-31 19:02:40,719 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0393.MP4
2025-01-31 19:02:44,730 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0416.MP4
2025-01-31 19:02:53,012 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0501.MP4
2025-01-31 19:03:04,041 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0512.MP4
2025-01-31 19:03:15,903 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0517.MP4
2025-01-31 19:03:24,126 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0541.MP4
2025-01-31 19:03:29,788 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0542.MP4
2025-01-31 19:03:32,483 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0543.MP4
2025-01-31 19:03:37,023 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0545.MP4
2025-01-31 19:03:44,796 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/1 PM/DJI_0546.MP4
2025-01-31 19:04:05,628 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/9 AM/DJI_0578.MP4
2025-01-31 19:04:19,014 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0649-1.MP4
2025-01-31 19:04:23,658 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0661-1.MP4
2025-01-31 19:04:45,303 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0668-1.MP4
2025-01-31 19:04:50,227 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0675-1-1.MP4
2025-01-31 19:04:54,498 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0676-1.MP4
2025-01-31 19:05:03,054 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0677-1.MP4
2025-01-31 19:05:24,507 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0710-1.MP4
2025-01-31 19:05:37,353 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0711-1.MP4
2025-01-31 19:05:58,511 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0712-1-1.MP4
2025-01-31 19:06:01,713 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0716-1.MP4
2025-01-31 19:06:05,133 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0717-1.MP4
